Date,Close,High,Low,Open,Volume
2025-02-26,38.2400016784668,38.470001220703125,38.0099983215332,38.38999938964844,2993900
2025-02-27,38.20000076293945,38.75,38.20000076293945,38.27000045776367,2981000
2025-02-28,38.279998779296875,38.349998474121094,37.59000015258789,37.9900016784668,3809100
2025-03-03,36.189998626708984,38.5,35.86000061035156,38.349998474121094,12675100
2025-03-04,35.04999923706055,35.52000045776367,34.540000915527344,35.33000183105469,7566500
2025-03-05,34.27000045776367,34.939998626708984,33.810001373291016,34.77000045776367,12066300
2025-03-06,34.75,35.0,33.88999938964844,34.029998779296875,5255200
2025-03-07,35.7400016784668,36.02000045776367,34.880001068115234,35.0,5941400
2025-03-10,35.65999984741211,36.13999938964844,35.439998626708984,35.72999954223633,4952900
2025-03-11,35.380001068115234,36.0099983215332,35.08000183105469,35.790000915527344,6380000
2025-03-12,35.75,35.97999954223633,35.08000183105469,35.41999816894531,6021200
2025-03-13,35.81999969482422,36.16999816894531,35.279998779296875,35.650001525878906,6700300
2025-03-14,36.68000030517578,36.68000030517578,35.720001220703125,35.90999984741211,3156200
2025-03-17,37.630001068115234,37.77000045776367,36.849998474121094,36.849998474121094,6884600
2025-03-18,37.61000061035156,37.97999954223633,37.15999984741211,37.81999969482422,3943200
2025-03-19,37.5099983215332,37.9900016784668,36.97999954223633,37.650001525878906,4414900
2025-03-20,37.709999084472656,37.720001220703125,36.95000076293945,37.16999816894531,6812900
2025-03-21,37.45000076293945,37.630001068115234,37.189998626708984,37.58000183105469,3669700
2025-03-24,38.40999984741211,38.459999084472656,37.59000015258789,37.65999984741211,3913100
