72,ALGM,0.89%,8.52%,28.81%,19.61%,-2.13%,24.15%,3.58%,6.28%,1.27,3.06M,0.57,27.14,-0.18%,"1,746,261"
73,ALGN,3.32%,-10.86%,-20.40%,-32.77%,-47.09%,-18.47%,3.12%,3.94%,1.89,985.43K,0.58,170.00,-0.22%,"570,566"
74,ALHC,5.08%,29.05%,71.28%,53.89%,262.68%,56.36%,4.11%,5.27%,1.85,2.14M,0.77,17.59,0.74%,"1,647,933"
75,ALIT,0.81%,-10.81%,-8.43%,-15.44%,-40.02%,-10.55%,3.65%,3.49%,1.25,6.80M,1.64,6.19,-0.64%,"11,168,457"
76,ALK,2.85%,-25.57%,-17.15%,34.51%,35.39%,-16.86%,3.01%,4.73%,1.39,3.35M,0.69,53.83,-0.57%,"2,300,824"
77,ALKS,-1.43%,-4.62%,13.05%,18.67%,25.62%,17.80%,2.71%,3.08%,1.87,1.67M,0.84,33.88,-2.62%,"1,407,682"
78,ALKT,8.40%,-8.27%,-28.58%,-12.71%,12.87%,-24.70%,3.08%,4.42%,1.40,1.03M,1.19,27.62,0.29%,"1,218,028"
79,ALL,1.35%,10.26%,9.66%,8.96%,28.33%,7.95%,1.87%,2.42%,1.79,1.90M,0.56,208.12,0.40%,"1,064,567"
80,ALLE,1.26%,1.30%,-0.80%,-7.70%,-4.21%,-0.83%,1.94%,2.29%,2.69,923.43K,1.15,129.59,-0.77%,"1,063,309"
81,ALLT,19.65%,2.27%,37.68%,125.33%,205.88%,13.61%,6.71%,8.31%,1.00,935.88K,0.81,6.76,-1.02%,"759,003"
82,ALLY,7.90%,1.46%,8.11%,8.58%,-7.78%,3.97%,3.15%,3.52%,2.09,3.75M,1.35,37.44,-1.16%,"5,049,656"
83,ALNY,15.01%,12.86%,17.62%,2.59%,91.62%,19.40%,5.70%,4.49%,1.76,745.17K,1.43,280.96,-3.35%,"1,065,379"
84,ALSN,2.58%,1.55%,-6.67%,9.89%,27.53%,-7.39%,2.37%,2.84%,2.82,696.99K,0.99,100.07,-0.23%,"692,116"
85,ALT,4.99%,-3.60%,-28.00%,-24.39%,-35.35%,-18.31%,4.80%,7.19%,1.36,2.55M,0.62,5.89,-2.64%,"1,584,809"
86,ALTR,0.37%,0.13%,3.88%,18.45%,28.86%,2.51%,0.36%,0.33%,3.00,772.75K,1.20,111.85,0.14%,"925,272"
87,ALUR,29.58%,-7.99%,-55.56%,-80.04%,-93.81%,-71.07%,15.57%,11.56%,1.50,2.89M,0.19,3.11,-9.86%,"560,136"
88,ALV,5.78%,-4.57%,2.71%,0.96%,-23.12%,-0.05%,1.93%,2.63%,1.84,850.20K,0.80,93.74,1.60%,"676,390"
89,AM,3.38%,12.68%,24.16%,21.81%,28.86%,19.55%,1.65%,2.64%,3.56,3.50M,0.95,18.04,0.28%,"3,336,351"
90,AMAT,0.08%,-8.86%,-4.83%,-20.05%,-27.12%,-5.53%,2.04%,3.42%,1.81,6.69M,0.76,153.64,-0.85%,"5,090,496"
